timestamp_utc,tag,asset,download_count
2026-07-30T09:06:15Z,v2.0.0,DraftFi-windows.zip,0
2026-07-30T09:06:15Z,v0.2.0,DraftFi-macos.zip,1
2026-07-30T09:06:15Z,v0.2.0,DraftFi-windows.zip,0
2026-07-30T09:06:15Z,v0.1.0,DraftFi-macos.zip,0
2026-07-30T09:06:15Z,v0.1.0,DraftFi-windows.zip,0
2026-07-31T09:19:16Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-07-31T09:19:16Z,v2.0.0,DraftFi-macos.zip,0
2026-07-31T09:19:16Z,v2.0.0,DraftFi-windows.zip,0
2026-07-31T09:19:16Z,v0.2.0,DraftFi-macos.zip,1
2026-07-31T09:19:16Z,v0.2.0,DraftFi-windows.zip,0
2026-07-31T09:19:16Z,v0.1.0,DraftFi-macos.zip,0
2026-07-31T09:19:16Z,v0.1.0,DraftFi-windows.zip,0
2026-08-01T08:35:31Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-01T08:35:31Z,v2.0.0,DraftFi-macos.zip,0
2026-08-01T08:35:31Z,v2.0.0,DraftFi-windows.zip,0
2026-08-01T08:35:31Z,v0.2.0,DraftFi-macos.zip,1
2026-08-01T08:35:31Z,v0.2.0,DraftFi-windows.zip,0
2026-08-01T08:35:31Z,v0.1.0,DraftFi-macos.zip,0
2026-08-01T08:35:31Z,v0.1.0,DraftFi-windows.zip,0
2026-08-02T08:38:24Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-02T08:38:24Z,v2.0.0,DraftFi-macos.zip,0
2026-08-02T08:38:24Z,v2.0.0,DraftFi-windows.zip,0
2026-08-02T08:38:24Z,v0.2.0,DraftFi-macos.zip,1
2026-08-02T08:38:24Z,v0.2.0,DraftFi-windows.zip,0
2026-08-02T08:38:24Z,v0.1.0,DraftFi-macos.zip,0
2026-08-02T08:38:24Z,v0.1.0,DraftFi-windows.zip,0
2026-08-03T10:08:16Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-03T10:08:16Z,v2.0.0,DraftFi-macos.zip,0
2026-08-03T10:08:16Z,v2.0.0,DraftFi-windows.zip,0
2026-08-03T10:08:16Z,v0.2.0,DraftFi-macos.zip,1
2026-08-03T10:08:16Z,v0.2.0,DraftFi-windows.zip,0
2026-08-03T10:08:16Z,v0.1.0,DraftFi-macos.zip,0
2026-08-03T10:08:16Z,v0.1.0,DraftFi-windows.zip,0
2026-08-04T09:12:21Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-04T09:12:21Z,v2.0.0,DraftFi-macos.zip,0
2026-08-04T09:12:21Z,v2.0.0,DraftFi-windows.zip,0
2026-08-04T09:12:21Z,v0.2.0,DraftFi-macos.zip,1
2026-08-04T09:12:21Z,v0.2.0,DraftFi-windows.zip,0
2026-08-04T09:12:21Z,v0.1.0,DraftFi-macos.zip,0
2026-08-04T09:12:21Z,v0.1.0,DraftFi-windows.zip,0
2026-08-05T09:09:06Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-05T09:09:06Z,v2.0.0,DraftFi-macos.zip,0
2026-08-05T09:09:06Z,v2.0.0,DraftFi-windows.zip,0
2026-08-05T09:09:06Z,v0.2.0,DraftFi-macos.zip,1
2026-08-05T09:09:06Z,v0.2.0,DraftFi-windows.zip,0
2026-08-05T09:09:06Z,v0.1.0,DraftFi-macos.zip,0
2026-08-05T09:09:06Z,v0.1.0,DraftFi-windows.zip,0
2026-08-06T09:09:20Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-06T09:09:20Z,v2.0.0,DraftFi-macos.zip,0
2026-08-06T09:09:20Z,v2.0.0,DraftFi-windows.zip,0
2026-08-06T09:09:20Z,v0.2.0,DraftFi-macos.zip,1
2026-08-06T09:09:20Z,v0.2.0,DraftFi-windows.zip,0
2026-08-06T09:09:20Z,v0.1.0,DraftFi-macos.zip,0
2026-08-06T09:09:20Z,v0.1.0,DraftFi-windows.zip,0
2026-08-07T07:45:02Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-07T07:45:02Z,v2.0.0,DraftFi-macos.zip,0
2026-08-07T07:45:02Z,v2.0.0,DraftFi-windows.zip,0
2026-08-07T07:45:02Z,v0.2.0,DraftFi-macos.zip,1
2026-08-07T07:45:02Z,v0.2.0,DraftFi-windows.zip,0
2026-08-07T07:45:02Z,v0.1.0,DraftFi-macos.zip,0
2026-08-07T07:45:02Z,v0.1.0,DraftFi-windows.zip,0
2026-08-08T07:18:00Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-08T07:18:00Z,v2.0.0,DraftFi-macos.zip,0
2026-08-08T07:18:00Z,v2.0.0,DraftFi-windows.zip,0
2026-08-08T07:18:00Z,v0.2.0,DraftFi-macos.zip,1
2026-08-08T07:18:00Z,v0.2.0,DraftFi-windows.zip,0
2026-08-08T07:18:00Z,v0.1.0,DraftFi-macos.zip,0
2026-08-08T07:18:00Z,v0.1.0,DraftFi-windows.zip,0
2026-08-09T07:25:40Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-09T07:25:40Z,v2.0.0,DraftFi-macos.zip,0
2026-08-09T07:25:40Z,v2.0.0,DraftFi-windows.zip,0
2026-08-09T07:25:40Z,v0.2.0,DraftFi-macos.zip,1
2026-08-09T07:25:40Z,v0.2.0,DraftFi-windows.zip,0
2026-08-09T07:25:40Z,v0.1.0,DraftFi-macos.zip,0
2026-08-09T07:25:40Z,v0.1.0,DraftFi-windows.zip,0
2026-08-10T08:07:14Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-10T08:07:14Z,v2.0.0,DraftFi-macos.zip,0
2026-08-10T08:07:14Z,v2.0.0,DraftFi-windows.zip,0
2026-08-10T08:07:14Z,v0.2.0,DraftFi-macos.zip,1
2026-08-10T08:07:14Z,v0.2.0,DraftFi-windows.zip,0
2026-08-10T08:07:14Z,v0.1.0,DraftFi-macos.zip,0
2026-08-10T08:07:14Z,v0.1.0,DraftFi-windows.zip,0
2026-08-11T07:40:14Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-11T07:40:14Z,v2.0.0,DraftFi-macos.zip,0
2026-08-11T07:40:14Z,v2.0.0,DraftFi-windows.zip,0
2026-08-11T07:40:14Z,v0.2.0,DraftFi-macos.zip,1
2026-08-11T07:40:14Z,v0.2.0,DraftFi-windows.zip,0
2026-08-11T07:40:14Z,v0.1.0,DraftFi-macos.zip,0
2026-08-11T07:40:14Z,v0.1.0,DraftFi-windows.zip,0
2026-08-12T07:54:54Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-12T07:54:54Z,v2.0.0,DraftFi-macos.zip,0
2026-08-12T07:54:54Z,v2.0.0,DraftFi-windows.zip,0
2026-08-12T07:54:54Z,v0.2.0,DraftFi-macos.zip,1
2026-08-12T07:54:54Z,v0.2.0,DraftFi-windows.zip,0
2026-08-12T07:54:54Z,v0.1.0,DraftFi-macos.zip,0
2026-08-12T07:54:54Z,v0.1.0,DraftFi-windows.zip,0
2026-08-13T07:56:21Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-13T07:56:21Z,v2.0.0,DraftFi-macos.zip,0
2026-08-13T07:56:21Z,v2.0.0,DraftFi-windows.zip,0
2026-08-13T07:56:21Z,v0.2.0,DraftFi-macos.zip,1
2026-08-13T07:56:21Z,v0.2.0,DraftFi-windows.zip,0
2026-08-13T07:56:21Z,v0.1.0,DraftFi-macos.zip,0
2026-08-13T07:56:21Z,v0.1.0,DraftFi-windows.zip,0
2026-08-14T07:53:16Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-14T07:53:16Z,v2.0.0,DraftFi-macos.zip,0
2026-08-14T07:53:16Z,v2.0.0,DraftFi-windows.zip,0
2026-08-14T07:53:16Z,v0.2.0,DraftFi-macos.zip,1
2026-08-14T07:53:16Z,v0.2.0,DraftFi-windows.zip,0
2026-08-14T07:53:16Z,v0.1.0,DraftFi-macos.zip,0
2026-08-14T07:53:16Z,v0.1.0,DraftFi-windows.zip,0
2026-08-15T07:00:14Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-15T07:00:14Z,v2.0.0,DraftFi-macos.zip,0
2026-08-15T07:00:14Z,v2.0.0,DraftFi-windows.zip,0
2026-08-15T07:00:14Z,v0.2.0,DraftFi-macos.zip,1
2026-08-15T07:00:14Z,v0.2.0,DraftFi-windows.zip,0
2026-08-15T07:00:14Z,v0.1.0,DraftFi-macos.zip,0
2026-08-15T07:00:14Z,v0.1.0,DraftFi-windows.zip,0
2026-08-16T07:02:06Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-16T07:02:06Z,v2.0.0,DraftFi-macos.zip,0
2026-08-16T07:02:06Z,v2.0.0,DraftFi-windows.zip,0
2026-08-16T07:02:06Z,v0.2.0,DraftFi-macos.zip,1
2026-08-16T07:02:06Z,v0.2.0,DraftFi-windows.zip,0
2026-08-16T07:02:06Z,v0.1.0,DraftFi-macos.zip,0
2026-08-16T07:02:06Z,v0.1.0,DraftFi-windows.zip,0
2026-08-17T07:18:26Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-17T07:18:26Z,v2.0.0,DraftFi-macos.zip,0
2026-08-17T07:18:26Z,v2.0.0,DraftFi-windows.zip,0
2026-08-17T07:18:26Z,v0.2.0,DraftFi-macos.zip,1
2026-08-17T07:18:26Z,v0.2.0,DraftFi-windows.zip,0
2026-08-17T07:18:26Z,v0.1.0,DraftFi-macos.zip,0
2026-08-17T07:18:26Z,v0.1.0,DraftFi-windows.zip,0
2026-08-18T07:07:28Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-18T07:07:28Z,v2.0.0,DraftFi-macos.zip,0
2026-08-18T07:07:28Z,v2.0.0,DraftFi-windows.zip,0
2026-08-18T07:07:28Z,v0.2.0,DraftFi-macos.zip,1
2026-08-18T07:07:28Z,v0.2.0,DraftFi-windows.zip,0
2026-08-18T07:07:28Z,v0.1.0,DraftFi-macos.zip,0
2026-08-18T07:07:28Z,v0.1.0,DraftFi-windows.zip,0
2026-08-19T07:08:00Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-19T07:08:00Z,v2.0.0,DraftFi-macos.zip,0
2026-08-19T07:08:00Z,v2.0.0,DraftFi-windows.zip,0
2026-08-19T07:08:00Z,v0.2.0,DraftFi-macos.zip,1
2026-08-19T07:08:00Z,v0.2.0,DraftFi-windows.zip,0
2026-08-19T07:08:00Z,v0.1.0,DraftFi-macos.zip,0
2026-08-19T07:08:00Z,v0.1.0,DraftFi-windows.zip,0
2026-08-20T07:08:50Z,v2.0.0,DraftFi-linux.tar.gz,0
2026-08-20T07:08:50Z,v2.0.0,DraftFi-macos.zip,0
2026-08-20T07:08:50Z,v2.0.0,DraftFi-windows.zip,0
2026-08-20T07:08:50Z,v0.2.0,DraftFi-macos.zip,1
2026-08-20T07:08:50Z,v0.2.0,DraftFi-windows.zip,0
2026-08-20T07:08:50Z,v0.1.0,DraftFi-macos.zip,0
2026-08-20T07:08:50Z,v0.1.0,DraftFi-windows.zip,0
